round,best_score,average_score
1,3.436422057242121,3.1561414949110724
2,3.5295347146492184,3.154197575297988
3,3.573717948717949,3.212925344162627
4,3.577748667034381,3.28462027794375
5,3.577748667034381,3.331168491623749
6,3.577748667034381,3.379092310932367
7,3.577748667034381,3.4139192747801546
8,3.577748667034381,3.438966103916586
9,3.577748667034381,3.4582278761879013
10,3.582332645744315,3.4798071898776004
11,3.582332645744315,3.500501242317632
12,3.582332645744315,3.5204320490680066
13,3.582332645744315,3.532567576400849
14,3.582332645744315,3.548414385937309
15,3.582332645744315,3.5565285786404446
16,3.582332645744315,3.5622897668548954
17,3.582332645744315,3.5701081644121087
18,3.582332645744315,3.5746350914538656
19,3.582332645744315,3.575139957210238
20,3.582332645744315,3.5755794914388197
21,3.582332645744315,3.576014288059186
22,3.582332645744315,3.5763673387397885
23,3.582332645744315,3.5767249212680063
24,3.582332645744315,3.577075104250161
25,3.582332645744315,3.577308969190692
26,3.582332645744315,3.5775958084393693
27,3.582332645744315,3.5779785134109487
28,3.582483905579399,3.578209819437372
29,3.582483905579399,3.578525812489533
30,3.5839290486370925,3.5788215523461755
