round,best_score,average_score
1,3.0893817460098316,2.6587684934121922
2,3.1408395252496293,2.6388716869023767
3,3.1408395252496293,2.698790732349149
4,3.1678810615309745,2.6958343342465034
5,3.1678810615309745,2.6740455146460045
6,3.1678810615309745,2.6494789873130555
7,3.1678810615309745,2.7000584011228725
8,3.1785237957141885,2.6745069295957817
9,3.1785237957141885,2.7017890585722037
10,3.1785237957141885,2.6626480802617247
11,3.1785237957141885,2.686301867320952
12,3.211050696002106,2.69433591737094
13,3.211050696002106,2.6811211266203543
14,3.211050696002106,2.6671002788959783
15,3.211050696002106,2.6494247098740016
16,3.211050696002106,2.6982288792920888
17,3.211050696002106,2.6772582956825453
18,3.2115738635892104,2.6623041071175035
19,3.2115738635892104,2.6871306365616423
20,3.2115738635892104,2.6488202206555806
21,3.2115738635892104,2.7035232734184165
22,3.2115738635892104,2.6540535826791016
23,3.2115738635892104,2.7099154465993194
24,3.2115738635892104,2.7168069756080317
25,3.2115738635892104,2.705058564207324
26,3.2115738635892104,2.6646414149698554
27,3.2115738635892104,2.663167783684215
28,3.2115738635892104,2.6859936826310458
29,3.2115738635892104,2.6798861607087807
30,3.2115738635892104,2.6549124318328863
31,3.2115738635892104,2.677305820619336
32,3.2115738635892104,2.703793508935038
33,3.2115738635892104,2.6891050474634266
34,3.2115738635892104,2.6577379977774878
35,3.2115738635892104,2.7265900362444135
36,3.2115738635892104,2.705536131690996
37,3.2115738635892104,2.67244500036387
38,3.2115738635892104,2.6485411814587914
39,3.2115738635892104,2.665257143553771
40,3.2115738635892104,2.6736135543206583
41,3.2115738635892104,2.653179551429345
42,3.2115738635892104,2.630387220015067
43,3.2115738635892104,2.6956421509155835
44,3.2115738635892104,2.6599296891265416
45,3.2115738635892104,2.6862950305491258
46,3.2115738635892104,2.624089325315582
47,3.2115738635892104,2.6421702985488134
48,3.2115738635892104,2.733596563385084
49,3.2651229109198043,2.7093141887172023
50,3.2651229109198043,2.702428874766805
51,3.2651229109198043,2.7095218860476136
52,3.2651229109198043,2.667308898478905
53,3.2651229109198043,2.70033456483641
54,3.2651229109198043,2.6783205328694266
55,3.2651229109198043,2.6646105355423826
56,3.2651229109198043,2.6828038861079277
57,3.2651229109198043,2.652315614107923
58,3.2651229109198043,2.681181711133082
59,3.2651229109198043,2.7219197543873683
60,3.2651229109198043,2.655458273271005
61,3.2651229109198043,2.6536864104440276
62,3.2651229109198043,2.7061815661923103
63,3.2651229109198043,2.6789510644052092
64,3.2651229109198043,2.700769239251256
65,3.2651229109198043,2.6885711863628927
66,3.2651229109198043,2.687906901130545
67,3.2651229109198043,2.701223031683662
68,3.2651229109198043,2.658386964677026
69,3.2651229109198043,2.664100734373675
70,3.2651229109198043,2.692561076913954
71,3.2651229109198043,2.6896994949514865
72,3.2651229109198043,2.6960934243517207
73,3.2651229109198043,2.7275621833441055
74,3.2651229109198043,2.7075100329193194
75,3.2651229109198043,2.6780029401253493
76,3.2651229109198043,2.681379572207294
77,3.2651229109198043,2.6882144493830946
78,3.2651229109198043,2.7263298727053757
79,3.2651229109198043,2.676991571012776
80,3.2651229109198043,2.6488668326746607
81,3.2651229109198043,2.694675190308862
82,3.2651229109198043,2.65764185867392
83,3.2651229109198043,2.683835290965181
84,3.2651229109198043,2.687718458013805
85,3.2651229109198043,2.6540958765797904
86,3.2651229109198043,2.6871257035094
87,3.2651229109198043,2.6856491808073795
88,3.2651229109198043,2.669398784479043
89,3.2651229109198043,2.703804944475712
90,3.2651229109198043,2.6883518971839546
91,3.2651229109198043,2.6902544194965414
92,3.2651229109198043,2.6769217286613003
93,3.2651229109198043,2.7095026734035206
94,3.2651229109198043,2.6654438584992723
95,3.2651229109198043,2.680092694563545
96,3.2651229109198043,2.675187819424864
97,3.2651229109198043,2.6668010239146622
98,3.2651229109198043,2.6596657613212433
99,3.2651229109198043,2.648546415381055
100,3.2651229109198043,2.6737736612984824
